Ehdokasnumero;Sukunimi;Etunimi;Ehdokasnimi;Vaaliliiton ID;Vaaliliitto
288;Järvinen;Aku-Oskari;Järvinen, Aku-Oskari;2;Opiskelijoiden sosialidemokraattinen yhdistys
289;Kapanen;Miro;Kapanen, Miro;2;Opiskelijoiden sosialidemokraattinen yhdistys
290;Kinnunen;Venla Riina Anniina;Kinnunen, Venla;2;Opiskelijoiden sosialidemokraattinen yhdistys
291;Leppänen;Meri Katriina;Leppänen, Meri;2;Opiskelijoiden sosialidemokraattinen yhdistys
292;Luukkainen;Elli Lempi Elmiina;Luukkainen, Elli;2;Opiskelijoiden sosialidemokraattinen yhdistys
293;Mäkynen;Matias Mikael;Mäkynen, Matias;2;Opiskelijoiden sosialidemokraattinen yhdistys
294;Matteinen;Heikki Urho Petteri;Matteinen, Petteri;2;Opiskelijoiden sosialidemokraattinen yhdistys
295;Mattila;Jere Vilho Valtteri;Mattila, Jere;2;Opiskelijoiden sosialidemokraattinen yhdistys
296;Nevalainen;Sofia Loviisa;Nevalainen, Sofia;2;Opiskelijoiden sosialidemokraattinen yhdistys
297;Qiu;Toivo Eemil Hanyun;Qiu, Toivo;2;Opiskelijoiden sosialidemokraattinen yhdistys
298;Rissanen;Simo Valtteri;Rissanen, Simo;2;Opiskelijoiden sosialidemokraattinen yhdistys
299;Rönkkö;Riina Maria;Rönkkö, Riina;2;Opiskelijoiden sosialidemokraattinen yhdistys
300;Suontakanen;Teppo Ilari;Suontakanen, Teppo;2;Opiskelijoiden sosialidemokraattinen yhdistys
301;Vaateri;Irja Ella Anniina;Vaateri, Irja;2;Opiskelijoiden sosialidemokraattinen yhdistys
302;Ahmala;Arttu Niilo Juhani;Ahmala, Arttu;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
303;Alanen;Valpuri Aurora;Alanen, Valpuri;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
304;Castrén;Olli Severi Juhananpoika;Castrén, Olli;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
305;Catani;Hanna Katrina;Catani, Hanna;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
306;Colaneri;Carlo Eugenio;Colaneri, Eugenio;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
307;Gustafsson;Anna Minna Inari;Gustafsson, Inari;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
308;Hanhijoki;Touko Taneli;Hanhijoki, Touko;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
309;Hansson;Frej Axel;Hansson, Axel;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
310;Harviainen;Juha Arvo Mikael;Harviainen, Juha;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
311;Heikkilä;Taavi Mattias;Heikkilä, Taavi;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
312;Heinonen;Marianna;Heinonen, Marianna;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
313;Heinonen;Otto Pyry Johannes;Heinonen, Otto;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
314;Helminen;Fiona Helmi Maria;Helminen, Fiona;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
315;Hiltunen;Titta Eliisa;Hiltunen, Titta;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
316;Holmberg;Jimi Valtteri;Holmberg, Jimi;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
317;Houttu;Aku Iisakki;Houttu, Aku;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
318;Kaarento;Anni Mirjami;Kaarento, Anni;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
319;Kantonen;Tyyni Alma Orvokki;Kantonen, Tyyni;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
320;Kari;Onerva Ilona;Kari, Onerva;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
321;Kasongo;Jenny Lea Itond;Kasongo, Jenny;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
322;Kauppila;Lauri Toivo Johannes;Kauppila, Lauri;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
323;Kauppinen;Ida Amanda Katariina;Kauppinen, Ida;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
324;Keskiivari;Kim Matias Juhanpoika;Keskiivari, Kim;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
325;Kiander;Essi Karoliina;Kiander, Essi;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
326;Kinanen;Mikael Matti Juhani;Kinanen, Mikael;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
327;Korhonen;Mikko Petteri;Korhonen, Mikko;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
328;Koskijoki;Kreeta Maria;Koskijoki, Kreeta;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
329;Koverola;Sofia Helena Aleksandra;Koverola, Sofia;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
330;Kurkilahti;Sara Varpu;Kurkilahti, Varpu;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
331;Kyllönen;Riku-Petteri;Kyllönen, Riku-Petteri;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
332;Lainema;Max Tuomas Juhani;Lainema, Max;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
333;Lauri;Roosa-Maria Pauliina;Lauri, Roosa-Maria;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
334;Lehtisaari;Justus Timotei;Lehtisaari, Justus;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
335;Lemström;Anna Katinka;Lemström, Anna;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
336;Lindman;Elina Jenny Katariina;Lindman, Elina;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
337;Lindqvist;Joel Markus;Lindqvist, Joel;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
338;Lindström;Maija Liisa Natalia;Lindström, Maija;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
339;Lodewijks;Janne Olavi;Lodewijks, Janne;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
340;Majaniemi;Minna Susanna;Majaniemi, Minna;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
341;Manninen;Arttu Valtteri;Manninen, Arttu;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
342;Maunula;Helena Aliisa;Maunula, Aliisa;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
343;Merikallio;Jussi Oskari;Merikallio, Jussi;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
344;Palomurto;Petrus Tapani;Palomurto, Petrus;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
345;Partanen;Linnéa Mimosa Evelina;Partanen, Linnéa;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
346;Pentikäinen;Viena;Pentikäinen, Viena;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
347;Pirhonen;Lotta-Maaria;Pirhonen, Lotta;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
348;Pulkkinen;Joonas Jussi Antero;Pulkkinen, Joonas;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
349;Rajala;Jonna Emilia;Rajala, Jonna;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
350;Ravattinen;Niko Santeri;Ravattinen, Niko;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
351;Reima;Aapo Hannu Eemeli;Reima, Aapo;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
352;Räikkönen;Jooseppi Juho Jukanpoika;Räikkönen, Jooseppi;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
353;Sirén;Sanni Sofia;Sirén, Sanni;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
354;Ståhlberg;Taika Aurora;Ståhlberg, Aurora;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
355;Suihkonen;Tuomas Veli Tapio;Suihkonen, Tuomas;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
356;Talvila;Joonas Kalervo;Talvila, Joonas;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
357;Tamminen;Jari-Pekka Fredrik;Tamminen, Jari-Pekka;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
358;Tamminen;Juho Antero;Tamminen, Juho;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
359;Tiainen;Pekka Aleksi;Tiainen, Pekka;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
360;Wallgren;Amos Lauri Waldemar;Wallgren, Amos;1;Sitoutumaton Vasemmisto - Obunden Vänster - Independent Left
361;Kovanen;Teemu Juho Ilmari;Kovanen, Teemu;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
362;Pasanen;Amanda Charlotte;Pasanen, Amanda;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
363;Karvonen;Okko-Pekka Pietari;Karvonen, Okko;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
364;Haavisto;Jami Jaakko Ilmari;Haavisto, Jami;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
365;Tujunen;Aleksi Antti Johannes;Tujunen, Aleksi;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
366;Lipiäinen;Helmi Tellervo;Lipiäinen, Helmi;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
367;Käyhkö;Oona Elsa Jemina;Käyhkö, Oona;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
368;Pylkkö;Alli Margareta;Pylkkö, Alli;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
369;Suhonen;Saku Petteri;Suhonen, Saku;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
370;Mattila;Saku Pasi Mikael;Mattila, Saku;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
371;Miikki;Aino Reetta Valpuri;Miikki, Aino;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
372;Heikkilä;Juho Sebastian;Heikkilä, Juho;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
373;Lagerstam;Kaarle Fredrik;Lagerstam, Fredrik;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
374;Helin;John Julius;Helin, John;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
375;Karhunen;Paula Henriikka;Karhunen, Paula;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
376;Varinowski;Oona Sofia;Varinowski, Oona;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
377;Haaslahti;Ellen Aleksandra;Haaslahti, Ellen;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
378;Kortelainen;Tommi Kristian;Kortelainen, Tommi;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
379;Rouvari;Akseli Pauli-Pekka;Rouvari, Akseli;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
380;Haltia;Liisa Astrid;Haltia, Liisa;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
381;Mäkinen;Theresa;Mäkinen, Theresa;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
382;Linkola;Maija Helena;Linkola, Maija;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
383;Seppänen;Tia Annika;Seppänen, Tipu;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
384;Vinkki;Samuel Oskari;Vinkki, Samuel;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
385;Kopperoinen;Petja Veikko Tapani;Kopperoinen, Petja;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
386;Mickos;Kasper Mikael;Mickos, Kasper;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
387;Ollila;Jere Petteri;Ollila, Jere;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
388;Turunen;Eeva Karoliina;Turunen, Eeva;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
389;Naalisvaara;Sonja Julia;Naalisvaara, Sonja;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
390;Oksanen;Alex Kristian;Oksanen, Alex;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
391;Kalliokoski;Kaneli Pihla;Kalliokoski, Kaneli;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
392;Oksman;Esa Petteri;Oksman, Esa;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
393;Linnossuo;Veli Matti;Linnossuo, Veli;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
394;Segerstam;Ada Aurora Elisabeth;Segerstam, Ada;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
395;Ålander;Veera Verde Victoria;Ålander, Verde;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
396;Alanko;Aukusti;Alanko, Aukusti;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
397;Lindh;Jenny Anette;Lindh, Jenny;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
398;Andersson;Heli Anna Emilia;Andersson, Emilia;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
399;Pirttijärvi;Heta Maria;Pirttijärvi, Heta;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
400;van der Meulen;Eugenie Carolina;van der Meulen, Eugenie;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
401;van Bruggen;Merijn Adriaan;van Bruggen, Merijn Adriaan;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
402;Arminen;Oscar Albin;Arminen, Oscar;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
403;Alanko;Heljä Kanerva;Alanko, Heljä;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
404;Jalonen;Elli-Noora Josefiina;Jalonen, Elli-Noora;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
405;Saukkonen;Tuuli Helinä;Saukkonen, Tuuli;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
406;Laitinen;Silja Kirsikka;Laitinen, Silja;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
407;Äyrämöinen;Olivia Nova;Äyrämöinen, Olivia;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
408;Leporanta;Miro Pekka;Leporanta, Miro;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
409;Leikoski;Lotta Beda Amanda;Leikoski, Lotta;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
410;Lassila;Aaro Juho Matias;Lassila, Aaro;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
411;Jalo;Elina Anna Maria;Jalo, Elina;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
412;Pokela;Anni Sanna Sofia;Pokela, Anni;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
413;Voutilainen;Sonja Hanna Juulia;Voutilainen, Sonja;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
414;Presnukhina;Anna;Presnukhina, Anna;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
415;Sylgren;Inka Sofia;Sylgren, Inka;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
416;Kivipuro;Matias Ville Olavi;Kivipuro, Matias;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
417;Väisänen;Jukka Tapani;Väisänen, Jukka;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
418;Rahikainen;Elina Johanna;Rahikainen, Elina;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
419;Alén;Natalie;Alén, Natalie;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
420;Stockmann;Nico;Stockmann, Nico;5;HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens
421;Aarto;Lotta Elisabet;Aarto, Lotta;18;Kokoomuksen opiskelijat
422;Bäckström;Teresa Tiia Maria;Bäckström, Teresa;18;Kokoomuksen opiskelijat
423;Ceesay;Mustapha;Ceesay, Mustapha;18;Kokoomuksen opiskelijat
424;Enbuske;Anna Maria;Enbuske, Anna;18;Kokoomuksen opiskelijat
425;Euro;Alvar;Euro, Alvar;18;Kokoomuksen opiskelijat
426;Granlund;Jenni Eveliina;Granlund, Jenni;18;Kokoomuksen opiskelijat
427;Hadi;Mohammed S.;Hadi, Mohammed S.;18;Kokoomuksen opiskelijat
428;Heinonen;Oskari Vilhelm;Heinonen, Oskari;18;Kokoomuksen opiskelijat
429;Hietala;Klaus Sakari;Hietala, Klaus;18;Kokoomuksen opiskelijat
430;Jaatinen;Tatu Markus;Jaatinen, Tatu;18;Kokoomuksen opiskelijat
431;Joensuu;Joakim Olavi;Joensuu, Joakim;18;Kokoomuksen opiskelijat
432;Junnila;Emilia Kukka-Maaria;Junnila, Emilia;18;Kokoomuksen opiskelijat
433;Kanervo;Mikko Petteri;Kanervo, Mikko;18;Kokoomuksen opiskelijat
434;Karhunen;Mikko Olavi;Karhunen, Mikko;18;Kokoomuksen opiskelijat
435;Karjalainen;Topias Arvo;Karjalainen, Topias;18;Kokoomuksen opiskelijat
436;Karppinen;Olli Jaakko Ilmari;Karppinen, Olli;18;Kokoomuksen opiskelijat
437;Kauppinen;Ville-Aleksi Ilmari;Kauppinen, Ville;18;Kokoomuksen opiskelijat
438;Keski-Luoma;Miika Sebastian;Keski-Luoma, Miika;18;Kokoomuksen opiskelijat
439;Kiiskinen;Maria Isabella;Kiiskinen, Maria;18;Kokoomuksen opiskelijat
440;Kivenne;Mikko Tuomas;Kivenne, Mikko;18;Kokoomuksen opiskelijat
441;Knaapi;Emilia Josefiina;Knaapi, Emilia;18;Kokoomuksen opiskelijat
442;Kontkin;Henri Kristian Alesi;Kontkin, Henri;18;Kokoomuksen opiskelijat
443;Korpinen;Topi Olavi;Korpinen, Topi;18;Kokoomuksen opiskelijat
444;Koskinen;Mikael Juha Ilmari;Koskinen, Mikael;18;Kokoomuksen opiskelijat
445;Kujala;Vilma Kaarina;Kujala, Vilma;18;Kokoomuksen opiskelijat
446;Kupias;Kaisa Marianna;Kupias, Marianna;18;Kokoomuksen opiskelijat
447;Kuva;Salla Enni Kristiina;Kuva, Salla;18;Kokoomuksen opiskelijat
448;Kähkönen;Paavo Oskari;Kähkönen, Paavo;18;Kokoomuksen opiskelijat
449;Laakkonen;Olli Erkki Verneri;Laakkonen, Verneri;18;Kokoomuksen opiskelijat
450;Laasonen;Hanna-Liisa Katariina;Laasonen, Hanna-Liisa;18;Kokoomuksen opiskelijat
451;Laitila;Juho Jasperi Rikhard;Laitila, Juho;18;Kokoomuksen opiskelijat
452;Lehtimäki;Anniina Iida Elina;Lehtimäki, Anniina;18;Kokoomuksen opiskelijat
453;Leinonen;Jenna Sofia;Leinonen, Sofia;18;Kokoomuksen opiskelijat
454;Lempinen;Kiia Kristiina;Lempinen, Kiia;18;Kokoomuksen opiskelijat
455;Meri;Otto Aleksi;Meri, Otto;18;Kokoomuksen opiskelijat
456;Niemi;Vertti Jesperi;Niemi, Vertti;18;Kokoomuksen opiskelijat
457;Niva;Iida Kristiina;Niva, Iida;18;Kokoomuksen opiskelijat
458;Nordman;Sina Kaisa Maarit;Nordman, Sina;18;Kokoomuksen opiskelijat
459;Nupponen;Konsta Simo Severi;Nupponen, Konsta;18;Kokoomuksen opiskelijat
460;Nurmela;Jeremias Alfred Ilmari;Nurmela, Jeremias;18;Kokoomuksen opiskelijat
461;Oleander-Turja;Jaakko Santeri;Oleander-Turja, Jaakko;18;Kokoomuksen opiskelijat
462;Pajula;Matias Risto Mikael;Pajula, Matias;18;Kokoomuksen opiskelijat
463;Pakarinen;Toni;Pakarinen, Toni;18;Kokoomuksen opiskelijat
464;Pauna;Ella Julia Alexandra;Pauna, Ella;18;Kokoomuksen opiskelijat
465;Pulliainen;Joonas Vihtori;Pulliainen, Joonas;18;Kokoomuksen opiskelijat
466;Salomaa;Olli Sakari Johannes;Salomaa, Olli;18;Kokoomuksen opiskelijat
467;Sillantaka;Nina Emilia;Sillantaka, Nina;18;Kokoomuksen opiskelijat
468;Smolander;Miro Valdemar;Smolander, Miro;18;Kokoomuksen opiskelijat
469;Tammekann;Samuel Tuomo Mattias;Tammekann, Samuel;18;Kokoomuksen opiskelijat
470;Tarkiainen;Marjo Elisa;Tarkiainen, Elisa;18;Kokoomuksen opiskelijat
471;Torikka;Peter Aleksi;Torikka, Peter;18;Kokoomuksen opiskelijat
472;Tuovila;Siiri Serafina;Tuovila, Siiri;18;Kokoomuksen opiskelijat
473;Tupamäki;Binga Maria;Tupamäki, Binga;18;Kokoomuksen opiskelijat
474;Tyyskä;Josefiina Adelia;Tyyskä, Josefiina;18;Kokoomuksen opiskelijat
475;Vehkavaara;Aino Maria;Vehkavaara, Aino;18;Kokoomuksen opiskelijat
476;Venäläinen;Emmi Veera Eveliina;Venäläinen, Emmi;18;Kokoomuksen opiskelijat
477;Vesinurm;Märt;Vesinurm, Märt;18;Kokoomuksen opiskelijat
478;Vuornos;Henrik Jeremias;Vuornos, Henrik;18;Kokoomuksen opiskelijat
479;Vähäuski;Heidi Riia Annika;Vähäuski, Heidi;18;Kokoomuksen opiskelijat
480;Väli-Torala;Venla Pauliina;Väli-Torala, Venla;18;Kokoomuksen opiskelijat
481;Alaraappana;Anna Sofia;Alaraappana, Anna;11;Keskeiset
482;Brusila;Eerik Maunu Anttoni;Brusila, Eerik;11;Keskeiset
483;Flyktman;Aleksi Elis Ilmari;Flyktman, Aleksi;11;Keskeiset
484;Linnainmaa;Eeva Kristiina;Linnainmaa, Eeva;11;Keskeiset
485;Lukkarila;Ville Tapio;Lukkarila, Ville;11;Keskeiset
486;Luttinen;Venla Maria;Luttinen, Venla;11;Keskeiset
487;Niiranen;Minna Maria;Niiranen, Minna;11;Keskeiset
488;Paavilainen;Joonas Kristian;Paavilainen, Joonas;11;Keskeiset
489;Sandroos;Esa Aleksi Valhder;Sandroos, Aleksi;11;Keskeiset
490;Tuovinen;Väinö Juhani;Tuovinen, Väinö;11;Keskeiset
491;Verkkosaari;Heidi Eeva Kaarina;Verkkosaari, Heidi;11;Keskeiset